Datum,Value,Code
2007-04-11 00:00:00,412,PB6090
2007-04-11 00:00:00,204,TB80120G
2007-04-12 00:00:00,306,A01-80-(30)
2007-04-12 00:00:00,1136,AHEK
2007-04-12 00:00:00,27,C02-80
2007-04-12 00:00:00,450,J16-90
2007-04-12 00:00:00,371,PB6090
2007-04-12 00:00:00,199,TB80120G
2007-04-13 00:00:00,334,A01-80-(30)
2007-04-13 00:00:00,1204,AHEK
2007-04-13 00:00:00,27,C02-80
2007-04-13 00:00:00,484,J16-90
2007-04-13 00:00:00,356,PB6090
2007-04-13 00:00:00,212,TB80120G
2007-04-14 00:00:00,316,A01-80-(30)
2007-04-14 00:00:00,1141,AHEK
2007-04-14 00:00:00,24,C02-80
2007-04-14 00:00:00,461,J16-90
2007-04-14 00:00:00,321,PB6090
2007-04-14 00:00:00,185,TB80120G
2007-04-15 00:00:00,314,A01-80-(30)
2007-04-15 00:00:00,1123,AHEK
2007-04-15 00:00:00,24,C02-80
2007-04-15 00:00:00,459,J16-90
2007-04-15 00:00:00,319,PB6090
2007-04-15 00:00:00,185,TB80120G
2007-04-16 00:00:00,335,A01-80-(30)
2007-04-16 00:00:00,1194,AHEK
2007-04-16 00:00:00,24,C02-80
2007-04-16 00:00:00,485,J16-90
2007-04-16 00:00:00,327,PB6090
2007-04-16 00:00:00,191,TB80120G
2007-04-17 00:00:00,363,A01-80-(30)
2007-04-17 00:00:00,1209,AHEK
2007-04-17 00:00:00,24,C02-80
2007-04-17 00:00:00,508,J16-90
2007-04-17 00:00:00,325,PB6090
2007-04-17 00:00:00,185,TB80120G
2007-04-18 00:00:00,350,A01-80-(30)
2007-04-18 00:00:00,1225,AHEK
2007-04-18 00:00:00,24,C02-80
2007-04-18 00:00:00,489,J16-90
2007-04-18 00:00:00,292,PB6090
2007-04-18 00:00:00,175,TB80120G
2007-04-19 00:00:00,345,A01-80-(30)
2007-04-19 00:00:00,1210,AHEK
2007-04-19 00:00:00,24,C02-80
2007-04-19 00:00:00,486,J16-90
2007-04-19 00:00:00,280,PB6090
2007-04-19 00:00:00,177,TB80120G
2007-04-20 00:00:00,352,A01-80-(30)
2007-04-20 00:00:00,1229,AHEK
2007-04-20 00:00:00,37,C02-80
2007-04-20 00:00:00,494,J16-90
2007-04-20 00:00:00,323,PB6090
2007-04-20 00:00:00,199,TB80120G
2007-04-21 00:00:00,330,A01-80-(30)
2007-04-21 00:00:00,1088,AHEK
2007-04-21 00:00:00,37,C02-80
2007-04-21 00:00:00,464,J16-90
